Rating(/10),Review Title ,Review ,Helpful Upvotes,Helpful Downvotes,Username,Date,Contains Spoiler
10,"The ""Real"" Superman is Back!","I remember going to see ""Superman: The Move"" 28 years ago on its opening weekend. For weeks the advertising had said, ""you will believe a man can fly"". He did. And it did.I've always been a fan of Superman - I'm 48 and started with the comics 43 years ago after seeing reruns of the George Reeve TV series - and for nearly 3 decades I've waited for someone to make a movie that lived up to that first Richard Donner film. Bryan Singer has not only stepped up to the challenge, he has both embraced it and polished it to make the Man of Steel more luminous than ever. No doubt you have read that Singer wanted to stay faithful to the Donner film by making a sequel rather than a remake. Five stars right there. Singer even goes so far as to incorporate many elements of the first film into his own without appearing to force them in for familiarity's sake. All the visual and verbal references - including Marlon Brando's soliloquy, dialog between Superman and Lois, and the styling of the scenery - fit naturally. (There is even a sly visual reminder of the fate of the poor detective who trailed Otis in the subway tunnel.) That's 2 more stars. Kevin Spacey as Lex Luthor! Who else? Two more stars. And Brandon Routh is somehow channeling Christopher Reeve while still managing to make the role his own with a quiet, confident performance that says this guy has enough talent not to get typecast. Final two stars.So how did I go from eleven stars to ten stars? Not her fault, but Kate Bosworth just doesn't convince me she is Lois Lane. Her performance is quite good, but her age, youth and overall style just don't fit the image of Lois. There is the one star deduction. Not a biggie and it's the worst that can be said about this otherwise remarkable film.The original film presented Superman as a gift to humanity from a dying planet. This film opens with Superman having been absent from Earth for five years and the uncertain claim that Superman is no longer needed. When you see this film, you will not only believe a man can fly, but you will no doubt leave the theater wishing there really was a Man of Steel. The world could really use a Superman!",3,4,jgwingfield,"Jun 27, 2006",
4,"Superman fans, stick with the original.","To Bryan Singer and the writers of Superman Returns, next time be original. This is nothing more than a knockoff of the original Superman movie from the opening title sequence to Superman's flying past the camera at the end. At least 25% of Superman's lines are verbatim from the original movie. There was no originality to Brandon Routh's Clark Kent or Superman; he was just a cheap imitation of Christopher Reeves. In addition, this story was boring, at times incoherent and frequently left a lot to be desired. Kevin Spacey is the only thing worth seeing this movie for. He played the mad villain superbly. If you are a fan off the original 2 movies, stick with them.",3,4,spidermanchemist,"Jun 27, 2006",
3,I wish Kryptonite kept me away from the theater!,"This film was esthetically pleasing and well acted, but about an hour too long. The story was really drawn out for no apparent reason. I am going to have to go against critic opinion and give it three stars at best…just know that at heart this is a love story not an action film. Even though one must leave expectation behind and keep an open mind...I feel the film just failed to connect with the audience. Everyone walking out of the theater was mumbling the same sentiments. The film has substance but wasn't pieced together correctly to convey the story. By the way, as it's PG-13 rating suggests, this film is not for young children, not because of any violence, but because no young child could possibly sit through this 2 1/2 hour film and neither could some adults. When I left the theater the film didn't stay with me...Just my 10 buck opinion!",11,12,shazaam17,"Jun 27, 2006",
10,A perfect super-hero film,"It was a rainy evening in south Detroit when a friend and I strolled into the local theater to see Superman Returns. My day had been alright: work, dinner, and a hopefully a good movie to close it all off. I paid my $7.50, grabbed a soda, and settled into a comfy chair amid a hundred more of its like inside a cool movie theater. I chatted and poked fun at the previews for the summer's upcoming films as a strange air of anticipation grew for the latest Man of Steel rendition. From the moment the opening credits rolled supported by the classic Superman score I knew this film was something special. From the first scene through to the last Superman Returns was exciting, gripping, humorous, and cinematically astute. From the ride away from the theater to my walk to the bedroom all I could think about was Superman and its wonderful blend of the classic coupled with new, innovative film styles and effects. This is a perfect film and will not disappoint old or new Superman fans. See this movie. See it twice. Then see it again.",3,4,whydideverwemeet,"Jun 27, 2006",
8,Welcome back old friend.,,0,2,russem31,"Jun 27, 2006",Spoiler
10,"Amazing, Amazing, Amazing!","Well everyone, guess what, Superman is back! And he's here to stay. I'm telling you, this film is absolutely amazing, and is exactly what the definition of summer blockbuster is. Director Bryan Singer, who made ""X-Men 1 and 2"", does the Superman franchise a great service by bringing the man of steel back into our movie-going lives. Props to you Bryan! ""Superman Returns"" is basically a continuation of the original Superman films. Superman aka Clark Kent goes away for five years trying to see if his planet of origin, Krypton, still exists. After he returns he finds everything turned upside down. His old nemesis Lex Luthor has concocted up another evil plan for power, and Clark's old flame Lois Lane has gone and married someone else, as well as writing a story called, ""Why the World Doesn't Need Superman"". It's up to him to save the world once more.Now it is time for me to go on and on about how super this movie is. Where to start? Newcomer Brandon Routh as Superman is great; he is like Christopher Reeve reborn. And Kevin Spacey as Lex Luthor added an evil quality to the character while still being funny, while Gene Hackman from the originals was just funny and not evil. My favorite character though, was Sam Huntington as Jimmy Olsen who was absolutely hilarious in every scene he's in. His career will definitely skyrocket as will Brandon Rouths'. Another thing I loved are the opening credits, as the camera travels through space and witnesses the jaw dropping demise of Krypton. That brings me to the visual effects, to which I will say, ""Wow"". Need I say more? The music by John Ottman reinvents John Williams original score but at the same time staying true. It is beautiful.There was one thing that really bugged me though, there was a crackling noise coming from the screen the ENTIRE movie that annoyed me to no end. That happened with ""Poseidon"" too! We pay $8.00 and then are shown an amazing movie on a crappy screen. I will rejoice the day the theaters in Saginaw switch over to digital. Oh please be soon.Now it is time you get up and go to the theater to see this destined classic. And after the filmmakers spent 200 million dollars on this film, they're going to need lots of theatergoers.I give it a whopping 10 out of 10! ""Superman Returns"" is rated PG-13 for some intense action violence.Brian Ledtke, 16, lives in Thomas Township.",1,2,moviegeek310,"Jun 27, 2006",
10,Jaw dropping!,"I am a big fan of all the comic movies (X-men, Spiderman, superman, etc.) and this movie didn't fail to please!!! The effects were jaw dropping, the movie had a good story behind it, and Brandon Routh had no problem filling the boots of Christopher Reeve! This was the first movie that I've watched since I was a kid that gave me tingles. Every time Clark Kent would strap on the cape, the tingles would be with me the whole time! Another great thing is that this movie can be for the girls too! Much like Spiderman, Superman has to foil his villain and get his swerve on with a lovely lady. Great flick! This movie was awesome and is definitely worth paying the full price!",1,2,mattkennedy85,"Jun 27, 2006",
1,Very poor...,,34,33,xxdisintegrationxx,"Jun 27, 2006",Spoiler
5,Superman has undeniably returned,,1,3,Sinha61,"Jun 27, 2006",Spoiler
10,Superman Returns (with a bang)!!,"By far, the best comic book movie I have ever seen. It is even better than Batman Begins (but not by much) and that is saying a lot! The sequel to Superman Returns can't come fast enough.Brandon Routh was just as good, if not better than Reeve(RIP). His Kal-el was good, Clark was great, but his Superman was just amazing! Spacey and the other characters were excellent also. The whole cast, and yes, even Parker Posey. For a 3 hr and 37 min movie, it sure did go by quicker than I would of thought.I must say that the success behind Superman Returns will be due to Bryan Singer. He made the movie what it is, GREAT! Singer and Co. took a good script, added a major twist, and the outcome was just amazing. I recommend everyone go see this as soon as you can!",1,2,TKnight39,"Jun 27, 2006",
10,"Great Movie, True to all Superman Fans","This new Superman film was awesome. Brandon Routh makes a great superman. I don't there there is anyone out there today that could have played a better Superman. The whole film was perfect from beginning to end. It really staid true to the old superman film that we all love so much. For me Superman was Christopher Reeve, but now I am adding Brandon to the list. I am sure Christopher would be so proud that he did an amazing job as the Character that Christopher Reeve made worldly popular.Kevin Spacy was superb, as usual. Kate Bosworth was a really good Lois Lane. She was quiet and a little understated but I feel it added to her character.Brandon Routh was absolutely wonderful. I can not say enough good things about this film and his role in this film. Everything down to the way he flys is on key with the way I remember Superman.Many props to the Writer, Director, Cast and Crew of this film. I know it will be a huge box office hit. AWESOME job. I loved it!!!Superman is a must see!!!",1,2,strbery21,"Jun 27, 2006",
9,Amazing....simply Amazing,"WOW......WOW........WOW...Superman movies are back people..and this movie just raises their bar by a BIG MARGIN The movie is not only an action masterpiece, the Acting is just great for everybody.I must give Brandon Routh a big 10/10 for the acting...he really returned the memories of Christopher Reef in superman in an amazing way.One more thing...the sound effects and the Music are VERY emotional..not only the old Lovely Superman soundtrack but also different music that was just mixed in a very professional way with the old music.Don't miss this movie..if you are a superman fan, or even if you just want a GREAT action movies, a great emotional movie, it is great for everybody, and it is NOT a kids movie at all.",0,1,hanyfame,"Jun 27, 2006",
10,Bravo!!!!,,1,3,Doc_3002,"Jun 27, 2006",Spoiler
10,"Great Movie, see it.","Incredibly good movie. The first trailer was awesome, but the second trailer kinda turned me off, but the movie was extremely well done(Director of X-men 2, directed this movie, so not surprised).Brandon Routh was an excellent Clark Kent/Superman, Kevin Spacey did a spectacular Lex Luthor and Lois lane, well, lois really isn't very hard to do, but i think Kate Bosworth did a good job.The plot i must admit seems very close to the other superman movies and cartoons, of course the clichéd catching things and people out of the air. But he does a couple of new things with his eyes, and there's a surprise in the movie that some of you may like.",1,3,big_blk_brutha,"Jun 27, 2006",
5,"You know when James Marsden is the best actor, you are in trouble.","I didn't like it. Maybe I grew up watching to much of the original- or the cartoons spoiled it for me on TV, but I didn't enjoy the film. In my mind, the perfect Lex Luther is calm, cool, and a dispassionate bad guy- the ultimate undefeatable super villain. In the movie he is a angry, childlike, whiny, bad-line spurting B villain. Now, one just can't blame Kevin Spacey (Ill always love American Beauty forever!) but he was the wrong choice. He wasn't.. Lex Luther. The other problem I had was Routh. Now, maybe he is young (this being the only movie I had ever seen him in) but Christopher Reeves would have wept! I mean, yes, he was beautiful (and my god, he beautiful) but he didn't have a superman quality. Actually, in my mind, he was more beautiful then Kate Brosworth (who didn't do a bad job herself). But a wonderful face and large, broad shoulders don't make the Superman-- the acting does. It takes talent to spurt off the corny lines, and talent the young lad has not been given time to acquire.My analysis? Good movie, bad actors.",9,16,julyia90,"Jun 27, 2006",
1,Pedestrian retread of 70's flick,"'Supes Returns' is a re-tread of the first movie's plot - the only thing new is the romantic sub-plot, which is a good one, but that's it. There was zero dramatic tension; in other words, we were simply watching it all unfold. And there was zero Wow. For 270 mil I expect some Wow, and I saw it in 3-D IMAX! Note on that: the middle-field of the 3-D was often under-sized, which made things like trucks look like toys. And a really large mistake was not establishing how super this man was. Routh is shown in his big Clark-suit then the first time we see him as Superman, it's CGI! It seemed like those Fleisher cartoons, after all, and every time his muscles were too-bulging. Upon seeing Routh again after that in the costume, my thoughts were, is this another one of those padded costumes? -- which is the man, which the effects?The powers: where were they? Nearly everything was catching, throwing, and flying, as if the film's reduplification of ""iconic"" 30's comics covers is supposed to make us feel all exited in and of itself. The X-Ray Vision and Super-Breath were thrown away on unimaginative uses and the Heat Vision came out once in an only mildly interesting manner. So, we were subjected to rising heroic fanfares frustratingly accompanying very pedestrian action and effects. The first 45 minutes ground forward establishing canon with overly-painstaking effort and over-long scenes. omg and what brainiacs voted to retain the original's ""lighthearted"" 70's cutesy-humor? ...the very aspect that prevents the original from playing well to a modern audience!The other theater-goers in our showing seem to have agreed. Here we were, opening-day IMAX Supes-geeks with shirts n stuff, and after the film there was only scattered 'pity-applause'!I'm here to announce the actor chosen to bear the S-Shield has zero charisma. That's about all there is to say about it.And this was not any person's idea of Lois Lane. Jeez. No spine. No snark. No brains...what's up? Unlike some younger actors, Bosworth seems unable to play older or savvy. Not only do I have no interest in seeing this again, I wish I hadn't gone through the unpleasant experience.",37,51,timoburke,"Jun 27, 2006",
8,"Super-flashy, Super-entertaining, Super-lacking?","Let me get this out of the way first - I am a huge Superman fanboy. One of my fondest childhood memories is watching the original Chris Reeve Superman with my family as a child and being awestruck in the scene where he catches the helicopter. The opening credits still give me goosebumps.Now, saying that, I will agree that this is an excellent movie. Its very entertaining, the characters are well developed and the FX are second to none. In short, I have no gripes with the movie. The references to the previous movies in character interactions and scenes filmed in the same style as the original Superman (practically take from the first and redone with Brandon Routh) added that final polish that most films lack. I was particularly impressed by Kate Bosworth's portrayal of Lois Lane - just the right amounts of anger, frustration, desire and hope all mixed into one. After the annoying performance by Katie Holmes in Batman Begins, one could imagine LL falling into the same pitfall. But, and this is testament to the writer's skill, you never hate Lois Lane. If anything, you feel for her, and how she's torn by the return of Superman.However, I have one criticism - no one really says anything. With the exception of Lex Luthor (brilliantly portrayed by Kevin Spacey), no one else says a whole lot. You do get a lot of emotion from the way the scenes are done, but there's something missing. Its really a minor flaw in an otherwise entertaining movie, but at times you're left wondering why you're rooting for Superman. However, I'm looking forward to a sequel - I have faith in Bryan Singer as a director.Superman has returned to the big screen. Congratulations guys, you did an amazing job.",1,1,iamnotafish,"Jun 27, 2006",
5,Superman never left,"I really enjoyed this movie. It was entertaining and fun. It is sadly not a great Superman movie. I wish that everyone who sees this film enjoys it and feels that they saw something worthwhile. I say this because it seems clear that the production worked very hard to achieve a great Superman movie and it is a good movie.Superheroes are not an easy chore and I think the production of Superman Returns did a grand job of bringing this guy back and yet it misses more from its ties to what happened before then what is presented as new. I walked out last night feeling that I had seen a good movie, but once again knowing that this material was not in the best of hands.It was a good effort.",1,1,Sabre77,"Jun 27, 2006",
3,I can't believe people thought this was a good movie.,"First of all, those 3 points are for the effects. The acting? Amateurish. Parker Posey crying scenes? Don't make me laugh.And if you're going to have a love story subplot, make it at least lukewarm. Those two actors had absolutely no chemistry.As with most movies these days: NO CHAR. DEVELOPMENT! A previous poster stated that one did not feel for any of the characters. I felt the exact same way. Brandon played Superman like a robot in his dialogue...always seemed subdued. Granted his Clark persona was pretty good.There was no buildup, no suspense, and yes, even though it's a fantasy, let's stick to some of the obvious limitations of Superman from the comicbooks.Kryptonite is deadly to him, yet after being exposed to it, getting the crap beat out of him, and then a large blade of kryptonite stuck in his side, he still manages to tread water to be saved by his friends? Oh yeah, and then he takes the whole mini continent that is loaded with kryptonite, lifts it and casts it into space. According to my comic books, Superman just near kryptonite suddenly becomes weak. Please.Too many inconsistencies, gaps, the movie does not flow. Come on folks, let's keep the standards high, so these bloated producers stay on their toes and give us what we want...a well-made film.",19,19,mwsully68,"Jun 27, 2006",
10,better than the high expectations,"This movie had all of the action/adventure that you'd expect from Superman, with none of the corny script-writing that we've come to expect and tolerate from Hollywood. They managed to avoid some expected cheezy conversations and as a bonus added in a lot of humor. Casting was perfect. Special effects were excellent without being over the top. Storyline was classic and unforgettable. This movie immediately makes my personal top 10 list and is nestled somewhere in between Usual Suspects and Star Wars. Bryan Singer is also nestled in between Johnny Depp and Kevin Spacey on my list of ""I'll go see anything with his name on it."" When does the sequel come out????",1,2,aprilsworking,"Jun 27, 2006",
8,Continues in the original spirit of Donner's while holding its own,"After a decade of false starts ranging from reboots to re-imaginings of the franchise, a new Superman movie has finally reached theaters; Superman has returned.The film certainly has its faults, as do all films that carry so much hype and emotion for those stepping through the door. The icon of Superman has become an American symbol and a legacy throughout the country and elicits its fair share of childhood nostalgia. So how does Bryan Singer's version hold up to past incarnations? Quite well. Built as a semi-sequel to the first and arguably the second of the original Superman films from the 70's and 80's, Superman Returns continues not only the stories of our favorite blue boy scout (Brandon Routh), the overzealous female reporter Lois Lane (Kate Bosworth), the young funny guy photographer Jimmy Olsen (Sam Huntington), Daily Planet Editor in Chief Perry White (Frank Langella), and bald super-baddie Lex Luthor (Kevin Spacey), but the film also adds on to certain themes from Richard Donner's original 1978 film, such as the idea of passing on the family heritage from father to son, the ideas of adoption, of loneliness, of obligation to a greater good and more central, the idea of Superman as a savior to mankind. While Singer and his writers add to this legacy, they also map out their own, deepening the Lois/Superman relationship and adding some unsuspected twists and turns into the mythos.Overall, Returns has some problems - perhaps a bit too lengthy a running length for the average movie-goer, and some pacing issues in the beginning and end, but overall, the rebirth of this franchise was worth the wait. Great FX, great action, heartfelt moments. They hit all the right points out of the park, and the rest is more than forgivable. The beginning credits alone which hearken back to the original films was enough to give goosebumps. Superman's Back.",3,3,popehowardtheduck,"Jun 27, 2006",
10,The Man of Steel is Back!!!,"Outstanding movie!!! All Superman fans will love the new superman, Brandon Routh. He is the perfect choice to play the man of steel. The torch has been successfully passed from Christopher Reeve to Brandon Routh. Brandon gave an awesome outstanding performance. He is definitely a great actor and playing the man of steel is surly gonna make him a big star. I look for great things ahead of him in his future.Overall, HIGHLY Recommended!!! Lots of action, suspense, awesome visuals and special effects! This is definitely the big summer movie of 2006. Maybe even the best movie of 2006, but we will just have to wait and see.",3,2,tjay1777,"Jun 27, 2006",
7,this was a good movie,,0,1,curaven,"Jun 27, 2006",Spoiler
7,Superman returns to his old glory?,"The film opens slowly as it explains the five year absence of Superman. Clark returns to his old job only to find Lois is engaged to Richard with whom she has a child. Then as soon as Lois gets into trouble Bryan Singer does what he does best, creates a thrilling visual experience. Once the effects in the film start they continue on throughout the film with very few visible flicks of the digital wand. The movie is engaging and put together as well as any other recent comic movies, But was a superman plot ever all that suspenseful, thrilling, or relatable? This movie like the previous Superman movies suffers from the writing restraints it character creates. THE man of steel does two things in this movie... Casually save the day with only a small smirk, or become a worthless mess the moment kryptonite comes into play. This causes the movie to lack the tension of a Spiderman or batman script; sure we know they aren't going to die either but at least they bleed. But putting aside previous complaint the movie is worth 9.50. It is well written (baby mama drama) and seamlessly integrates stunning effects.",0,1,eloc_86,"Jun 27, 2006",
9,Awesome!!!!!,,0,1,slimbree,"Jun 27, 2006",Spoiler
9,You want a summary?  : Outstanding!!,,0,1,charmed_crazy12,"Jun 27, 2006",Spoiler
10,Superman returns in full force,"To be honest I was never truly a Superman fan; I was only interested in the mythos of the hero. Having known the general back story of Superman from what I knew from comic book encyclopedias, ""Smallville"", the first two movies, some of the comics themselves, and of course Wikipedia, I was looking forward to this film. Bryan Singer managed to pull off the X-men movies, revamping that comic books could become very good Hollywood materials, and he's proved that again with Superman Returns.The story, as many would know, takes place five years after Superman II. Our hero has returned from his journey to the remains of Krypton, and is greeted with much applause and excitement from the world. Well, except for Lois Lane. Returning back to the world as well is Lex Luthor, released from prison after the events of the previous film (the latter films, I suppose, are now excluded from the Superman movie canon?). He now has a new plan to overtake the world by force as well as eliminate Superman as well. After walking into the abandoned Fortress of Solitude, Lex gets a hold of a bunch of crystals that will grow into massive landmasses by imitating minerals that they are exposed to. Using water as a catalyst, the land masses would grow into full continents, wiping out, as Lex exclaims, ""BILLIONS!"" The film's visuals are compelling, now giving, for one, Superman's flight such an amazing sense of depth and realism. The first action sequence of the film, which involves our intrepid hero stopping a free-falling plane that had been attached to a malfunctioning rocket that was being launched into space (that's a mouthful) is just so spectacular. Yet when I saw and compared the flying sequences of this film to the previous ones, I realized just how well done the predecessors had done in terms of visuals. This is a film that has been long since coming, and I'm glad that Warner Bros. finally chose upon Bryan Singer. The last two Superman films, though not nearly as disastrous as Batman and Robin, did almost stain their protagonist's image in the mythos, however what Singer does here, knowing that the self-kidding hero had been pushed a little too much, makes this one a more serious, more toned story, just as Batman Begins does with its hero. What we now have is a superhero that returns to a world that, after his long absence, has become almost worse than it had been when he left it. Along with that, he now faces the challenges of being rejected by the one person he cared for the most out of all the world, Lois Lane. She has a fiancée and a son, but still remains deeply hurt by Superman's departure. As well, Lex Luthor is, as I said, more vicious and cunning as before, and there is a sequence in the film where his cruelty is unexpected but effective. I really liked Spacey's performance. He has a lot of sinister smiles in this film along with his dialogue, and it was great to see that familiar smile that we see in a lot of his villainous roles. Brandon Routh, a relative unknown, looks remarkably like his predecessor, the late Christopher Reeve. At first I was not sure about his effectiveness in continuing the role, however this film has confirmed that he was the perfect choice. With Clark Kent Routh plays him down, just as Reeves had, and perfectly portray's Kent's tendencies to say the wrong things at the wrong time, shy, and of course, try so hard to ""hide"" his feelings for Lois Lane. Bosworth's performance as Lane was wonderful, and I hope she will be returning in what I hope may be the sequel to this film. This film was long (as well as this comment), however it was so worth the time. What got to me, however, was the way the massive disaster that ensues with Luthor's plan seems to affect only Metropolis. As well, Kent completely vanishes in the latter parts of the film, and I began wondering why everyone was so concerned with Lois Lane if Clark Kent was also missing from work as well. But then again I suppose that was how Superman intended Clark to be-- played down so much that he appears invisible to everyone. But I digress. Superman Returns is everything that I expected it to be. The timing is excellent as well. In a time where the world seems like it may be heading downhill, it's great to see a film that returns the most heroic superhero of the twentieth century back into our minds. Like the people of Metropolis and the world it occupies, Superman is its beacon, and he ""lights the way"". If only that were so in our world.",1,2,WBSlinger63,"Jun 27, 2006",
9,Singer true to the Superman character of all ages,"As he has demonstrated with his past films, Singer stays true to the Superman character of all ages while appearing to the mass audience of today. Building his main characters steadily, Singer makes us care about what happens to his protagonist and supporting cast. Mixing in humor and a twisting, turning love story, Singer's film is well rounded with few awkward moments, and a beautiful meld with computer generated effects.The comic aficionado will enjoy the special homage to the 1920s pages with frame shots. The honor and sentiment towards Christopher Reeve and John Williams is felt throughout. Routh wins us over with his tenderly believable performance, and his stoic strength is palpable. Spacey is a convincing Luthor with punchy lines and unmistakable intent. Brando's clips bear more and more weight as the story plays out, and remain echoing in the mind.I grew up a Superman fan having never seen any movies in any theatres. This movie displays the quintessential superhero of all time in a world not unlike ours today that needs a motivating figure to look up to. Even if you are not a Superman die-hard fan, you will appreciate the deeper threads that run through the movie.Thank you for such an exhilarating ride.",1,2,CKent007,"Jun 27, 2006",
9,"Great movie, it is worth the watch! (spoiler free)","Greetings fellow movie lovers. I just got back from seeing Superman Returns on this the night of it's opening, and I would have to say the experience was excellent as well as noteworthy. Once again I will add that there will be no spoilers here(only what you could get from previews or the main summary of the movie). I will also add that this is my first time writing a review of a movie on IMDb, so please bare with me. OK, as I was saying my girlfriend and I attended a showing of superman returns tonight and I would rate this movie very high. The effects, the acting, the cinematography, everything was done very well in this movie. In the movie, as you know we enter a modernized world of superman, and yet the film takes place from a point already into the saga, unlike batman begins(however this is definitely it's own movie). Bryan Singer has come into his own and has done a great job on this movie. Though I stated that it is it's own movie Singer's decisions in the movie show how much he appreciates and loves the older movies and superman epic, like his use of the original music and than some. There are signs everywhere in the film that reference the Christopher reeve era films. Though it is impossible to totally make some aspects of superman ""uncheesy"" Singer does a nice job of the real world feel. The movie is longer which is a plus since no movie of this type should ever feel rushed, although there were choice parts that I thought could be longer, but not many. Brandon Routh is a perfect new superman. He is able to make the part his own and yet you do see some reeve present. Kevin Spacey takes Lex Luthor from being a funny businessman who is sort of evil to being an intelligent tyrant out for revenge and personal gain...This film is definitely darker. Kate Bosworth, Sam Hungington, and the rest of the cast all do a great job. In fact there is really only one part of the plot that I thought was a tad unnecessary, or at least shouldn't have been done. Lets see if you all can figure out which part I meant. However it wasn't that bad, and the movie still flows well. Some more explanation on certain parts could be the only other flaw, but all in all this movie is worth seeing and hopefully not just the fans will fall in love with this modern epic. I hope this helped...Thanks!",2,2,guitarwiz21,"Jun 27, 2006",
,A Cheesy Disappointment.,,68,47,ScottBang,"Jun 27, 2006",Spoiler
8,Really Great,,0,5,Happy_Crazy_Chel,"Jun 27, 2006",Spoiler
9,Fabulous!,"I went into this theater expecting a fabulous, exciting movie, and I walked out utterly pleased. It was higher than my expectations! This movie was funny, it got you involved emotionally, it had enough action, amazing special-effects, and excellent acting.Brandon Routh was excellent as Superman, and as the adorably dorky Clark Kent. He has the looks, the muscle, and he doesn't look ridiculous in the blue and red suit. Kate Bosworth was lovely and vivacious as Lois Lane, and James Marsden was, well, so very normal compared to Superman, but he did a good job, too.Whatsisname was a good villain, a good Lex Luthor. He didn't overact the evilness; he got it just right. He got the power-hungry sense, and the wit and intelligence that Lex Luthor has; he didn't overdo it, but nor did he underplay it. He makes the viewers understand why this man has been doing so many horrible things.The only reason I give this 9 is because of the inconclusive ending. I hope that there are more Superman movies with Brandon Routh after this. Bryan Singer did a fabulous job with this.The plot line never lagged. It was always exciting and making the viewer ask questions. It was action packed and suspenseful; it didn't have too much action, nor too much non-action. It had a good balance of emotional conflict and action-type conflict.Also, this movie does not confuse the non-Supermanbuffs. I am not a Superman buff, but I was able to follow what was happening, and what Krypton was and why Superman left in the first place, etc. etc.I would advise this movie to anyone who is searching for a good reason to go to the theater, or for someone who wants to see a good action film, or for people who are wondering if Routh can be a good Superman. Go see this movie as soon as you can!",1,1,writer_cb,"Jun 27, 2006",
7,Superman Returns: a decent family film,,0,1,gjfilestore,"Jun 27, 2006",Spoiler
10,Superman has returned in a big way!,"As a life long Superman fan, I, like many others, was afraid that this movie would be a stinker. After seeing it twice, already, I can honestly say that this is already one of my favorite movies of all time and the best superhero flick I've ever seen. Brandon Routh had some massive shoes to fill with this flick and he did it with gusto. He portrayed a powerful, yet vulnerable being and after no time at all, I was totally convinced. Brian Singer did what only a few others might have been able to, he made a new Superman movie that beams with greatness. Man, I can't wait to see it again and again, not to mention it's sequels. Superman is back! Hooray!",1,2,shahan-1,"Jun 27, 2006",
,Disappointing and Darker than Expected...Sequel? Remake?,,2,4,gortx,"Jun 27, 2006",Spoiler
3,Great Characters in a sea of bad writing,"The premise of the movie is simply absurd. This movie is not in the excellent tradition of Batman Begins or Spiderman 1 & 2. The casting was relatively decent (although Brandon Routh looks like Jason Schwartzman on steroids). Jimmy Olsen was perfect. But the storyline was incoherent, leaving many loose ends untied. Brian Singer had the chance to make something great and he failed miserably. I was very disappointed that he made a mediocre movie out of good characters by employing a weak script, a foolish premise, and a stupid storyline. Keep the Christopher Reeve films and Smallville in your mind as a shining example of what Superman should really be like.",5,6,LBfan84,"Jun 27, 2006",
9,Awesome Movie,,0,1,Night_Wing917,"Jun 27, 2006",Spoiler
